OperandA, OperandB, Result, Exception
          1,          0,          0,z
          0,          1,          0,z
          1,          2,          2,z
          2,         -4,          8,z
          4,          8,         48,z
         -8,         16,       -128,z
         16,         32,        512,z
         32,        -64,       2048,z
         64,        128,      12288,z
       -128,        256,     -32768,z
        256,        512,     131072,z
        512,      -1024,     524288,z
       1024,       2048,    3145728,z
      -2048,       4096,   -8388608,z
       4096,       8192,   33554432,z
       8192,     -16384,  134217728,z
      16384,      32768,  805306368,z
     -32768,      65536,-2147483648,z
      65536,     131072,          0,z
-2147483648,          2,          0,z
